Nome associazione;Indirizzo;Tipo
'INSIEME CORALE COROANCH''IO';Via S.Martino 4, 37014 Castelnuovo del Garda;Culturale
LA COMBRICOLA;Via Zamboni ,43 37014 Castelnuovo del Garda;Culturale
LA DUCHESSA DEL MORO;Via Alberetti,45 37014 Castelnuovo del Garda;Culturale
LA GIRANDOLA;Via Filiselle 37014 Castelnuovo del Garda;Culturale
LIONS CLUB PESCHIERA D/GARDA;Via Roma Peschiera del Garda,1 37014 Castelnuovo del Garda;Culturale
'MOTOCLUB SANDRA''';'Via Sant''Antonio,1 37014 Castelnuovo del Garda';Sportiva
NOI CON IVO;Via Buonarrotti,20 37014 Castelnuovo del Garda;Culturale
PRO LOCO;Via Milano,5 37014 Castelnuovo del Garda;Culturale
PROGETTO ARCUS ONLUS;Via M.L. KING,9 37014 Castelnuovo del Garda;Culturale
ROSE diVenti APS;Bussolengo VR, Via Pasubio,17;Culturale
SCI CLUB ALTO MINCIO A.S.D.;Piazza Angelini 37014 Castelnuovo del Garda;Sportiva
SCUOLA RITMICA;Viale degli Studi,1 37014 Castelnuovo del Garda;Sportiva
SQUADRA VOLONTARI CASTELNUOVO DEL GARDA ODV;Via G. Galilei,20 37014 Castelnuovo del Garda;Culturale
STRADAFACENDO;Via Attila,22 37014 Castelnuovo del Garda;Culturale
TEATRALE GATTO ROSSO;Via Monte Cricco,2b 37014 Castelnuovo del Garda;Culturale
U.N.I.T.A.L.S.I. GRUPPO DI ZONA CASTELNUOVO D/G;Via Trento,64 37014 Castelnuovo del Garda;Culturale
UNIONE POLISPORTIVA DILETTANTISTICA;Via Oregolo,8 37014 Castelnuovo del Garda;Sportiva
